Genre_1,Genre_2,Genre_3,Attire_1,Attire_2,Attire_3
Soul/R&B,Classical,Instrumental,velvet jacket,dress shirt,classical outfit
Jazz,Instrumental,Country,linen shirt,formal shoes,wide-brimmed hat
Blues,Jazz,Metal,harmonica pendant,fedora hat,combat boots
Rock,Other,Vocal,band t-shirt,personalized accessories,minimalist accessories
Rock,Acoustic,Vocal,leather jacket,casual shirt,dress shoes
Rock,Jazz,Punk,band t-shirt,linen shirt,punk jacket
Electronic,Easy Listening,Pop,graphic tee,loafers,fashionable sneakers
Easy Listening,Indie,Experimental,relaxed fit clothing,corduroy pants,avant-garde attire
Metal,Reggae,Pop,black t-shirt,beanie,skinny jeans
Blues,Pop,World Music,vintage jeans,skinny jeans,sandals
Punk,Country,Acoustic,combat boots,cowboy boots,casual shirt
Country,Dance,Acoustic,wide-brimmed hat,light-up shoes,comfortable jeans
Ambient,Punk,Metal,minimalist jewelry,combat boots,black t-shirt
Soul/R&B,Jazz,Pop,velvet jacket,linen shirt,fashionable sneakers
Indie,Reggae,Rock,corduroy pants,beanie,band t-shirt
Hip Hop/Rap,Easy Listening,Metal,streetwear hoodie,relaxed fit clothing,black t-shirt
Ambient,Instrumental,Metal,earth tones,simple jewelry,studded belt
Experimental,Reggae,Vocal,avant-garde attire,beanie,dress shoes
Experimental,Easy Listening,Metal,bold patterns,relaxed fit clothing,combat boots
Ambient,Electronic,Pop,loose-fitting clothing,cargo pants,bright colored top
Indie,Ambient,Easy Listening,ankle boots,loose-fitting clothing,light scarf
Electronic,World Music,Latin,LED accessories,sandals,dance shoes
Punk,Country,Other,punk jacket,cowboy boots,unique finds
Country,Punk,Indie,wide-brimmed hat,combat boots,ankle boots
Acoustic,Hip Hop/Rap,Instrumental,simple sneakers,streetwear hoodie,simple jewelry
Soul/R&B,Indie,Experimental,silk scarf,ankle boots,avant-garde attire
Experimental,Instrumental,Metal,avant-garde attire,formal shoes,black t-shirt
Vocal,Jazz,World Music,dress shoes,sunglasses,ethnic print clothing
Classical,Hip Hop/Rap,Pop,dress shirt,sneakers,fashionable sneakers
Hip Hop/Rap,Experimental,Metal,streetwear hoodie,unique accessories,combat boots
Hip Hop/Rap,World Music,Dance,baseball cap,beaded accessories,glow accessories
Vocal,Electronic,Ambient,minimalist accessories,cargo pants,loose-fitting clothing
Vocal,Hip Hop/Rap,Country,dress shoes,baseball cap,denim shirt
Pop,Latin,Electronic,skinny jeans,dance shoes,graphic tee
Reggae,Easy Listening,Other,beads bracelet,loafers,personalized accessories
World Music,Rock,Acoustic,beaded accessories,band t-shirt,simple sneakers
Soul/R&B,World Music,Pop,silk scarf,sandals,skinny jeans
Electronic,Indie,Vocal,graphic tee,corduroy pants,elegant gown
Country,Classical,Vocal,cowboy boots,dress shirt,minimalist accessories
World Music,Reggae,Country,sandals,beanie,cowboy boots
Acoustic,Experimental,Pop,comfortable jeans,avant-garde attire,fashionable sneakers
Experimental,Jazz,Latin,avant-garde attire,linen shirt,colorful dress
Other,Hip Hop/Rap,Reggae,personalized accessories,baseball cap,beanie
Hip Hop/Rap,Soul/R&B,Acoustic,baseball cap,velvet jacket,simple sneakers
Vocal,Metal,Reggae,elegant gown,studded belt,beanie
Acoustic,Pop,Ambient,casual shirt,skinny jeans,minimalist jewelry
Ambient,Indie,Vocal,loose-fitting clothing,ankle boots,dress shoes
Dance,Pop,Hip Hop/Rap,neon clothing,skinny jeans,sneakers
Metal,Electronic,Latin,black t-shirt,LED accessories,dance shoes
Rock,Metal,Electronic,ripped jeans,combat boots,LED accessories
Other,Dance,World Music,eclectic mix,neon clothing,sandals
Instrumental,Folk,Rock,classical outfit,ankle boots,leather jacket
Ambient,Easy Listening,Latin,loose-fitting clothing,relaxed fit clothing,dance shoes
Soul/R&B,Electronic,Other,velvet jacket,graphic tee,eclectic mix
Hip Hop/Rap,Experimental,Acoustic,sneakers,avant-garde attire,casual shirt
Hip Hop/Rap,Folk,Soul/R&B,sneakers,wool hat,silk scarf
Easy Listening,Pop,Metal,loafers,fashionable sneakers,combat boots
Punk,Instrumental,Experimental,combat boots,classical outfit,unique accessories
Experimental,Ambient,Rock,bold patterns,minimalist jewelry,ripped jeans
Instrumental,Folk,Experimental,simple jewelry,ankle boots,unique accessories
Reggae,Folk,Acoustic,beanie,flannel shirt,comfortable jeans
World Music,Pop,Vocal,ethnic print clothing,fashionable sneakers,minimalist accessories
Hip Hop/Rap,Punk,Ambient,sneakers,punk jacket,minimalist jewelry
Latin,Reggae,World Music,colorful dress,beanie,beaded accessories
Latin,Dance,Folk,colorful dress,light-up shoes,flannel shirt
Indie,Country,Easy Listening,corduroy pants,wide-brimmed hat,light scarf
Other,Blues,Pop,personalized accessories,vintage jeans,bright colored top
Dance,Hip Hop/Rap,Instrumental,light-up shoes,sneakers,formal shoes
Latin,World Music,Classical,colorful dress,beaded accessories,dress shirt
Metal,Punk,Acoustic,black t-shirt,combat boots,comfortable jeans
Indie,Country,Other,ankle boots,wide-brimmed hat,personalized accessories
Experimental,Latin,Acoustic,bold patterns,cuban shirt,simple sneakers
Reggae,Indie,World Music,beanie,vintage sweater,sandals
Latin,Easy Listening,Other,cuban shirt,relaxed fit clothing,unique finds
Latin,Vocal,Ambient,colorful dress,dress shoes,earth tones
Punk,Soul/R&B,Ambient,punk jacket,slim-fit trousers,loose-fitting clothing
Acoustic,Hip Hop/Rap,Indie,comfortable jeans,streetwear hoodie,vintage sweater
Classical,Electronic,Metal,formal coat,graphic tee,studded belt
Experimental,Instrumental,Electronic,avant-garde attire,formal shoes,cargo pants
Indie,Hip Hop/Rap,World Music,ankle boots,sneakers,beaded accessories
Hip Hop/Rap,Metal,Experimental,streetwear hoodie,studded belt,bold patterns
Easy Listening,Hip Hop/Rap,Metal,light scarf,streetwear hoodie,combat boots
Reggae,Indie,Acoustic,beanie,vintage sweater,simple sneakers
Indie,Pop,Reggae,corduroy pants,fashionable sneakers,beanie
Vocal,Rock,Punk,dress shoes,ripped jeans,chain accessories
Other,Electronic,Indie,personalized accessories,LED accessories,ankle boots
Latin,Jazz,Folk,cuban shirt,linen shirt,flannel shirt
Ambient,Indie,Dance,earth tones,ankle boots,glow accessories
Folk,Ambient,Classical,flannel shirt,minimalist jewelry,formal coat
Ambient,Blues,Dance,loose-fitting clothing,vintage jeans,light-up shoes
Experimental,World Music,Classical,bold patterns,sandals,formal coat
Electronic,Latin,Hip Hop/Rap,cargo pants,colorful dress,sneakers
Easy Listening,Folk,Hip Hop/Rap,light scarf,flannel shirt,streetwear hoodie
Pop,Easy Listening,Punk,bright colored top,loafers,punk jacket
Experimental,Jazz,Acoustic,avant-garde attire,fedora hat,simple sneakers
Indie,Other,Punk,corduroy pants,eclectic mix,chain accessories
Metal,World Music,Soul/R&B,combat boots,ethnic print clothing,silk scarf
Country,Rock,Soul/R&B,denim shirt,band t-shirt,slim-fit trousers
Blues,Soul/R&B,Metal,vintage jeans,velvet jacket,black t-shirt
Soul/R&B,Ambient,Dance,slim-fit trousers,loose-fitting clothing,glow accessories
Vocal,World Music,Latin,elegant gown,sandals,dance shoes
Acoustic,Easy Listening,Country,casual shirt,light scarf,wide-brimmed hat
Reggae,Hip Hop/Rap,Blues,rasta colors clothing,baseball cap,vintage jeans
World Music,Punk,Classical,beaded accessories,punk jacket,loafers
Punk,World Music,Latin,combat boots,beaded accessories,cuban shirt
Ambient,Pop,Latin,minimalist jewelry,skinny jeans,cuban shirt
Acoustic,Reggae,Rock,casual shirt,beads bracelet,ripped jeans
Indie,Metal,Folk,corduroy pants,black t-shirt,wool hat
Indie,Acoustic,Country,ankle boots,simple sneakers,cowboy boots
Ambient,Dance,Soul/R&B,minimalist jewelry,neon clothing,slim-fit trousers
Instrumental,Classical,Indie,classical outfit,dress shirt,ankle boots
Vocal,Dance,World Music,dress shoes,glow accessories,ethnic print clothing
Soul/R&B,Other,Acoustic,silk scarf,unique finds,simple sneakers
Easy Listening,World Music,Folk,light scarf,sandals,ankle boots
Ambient,Country,Rock,minimalist jewelry,wide-brimmed hat,band t-shirt
Pop,Easy Listening,Ambient,bright colored top,loafers,loose-fitting clothing
Punk,Folk,Vocal,chain accessories,wool hat,dress shoes
Soul/R&B,Punk,Instrumental,silk scarf,chain accessories,simple jewelry
Reggae,Punk,Easy Listening,beads bracelet,chain accessories,relaxed fit clothing
Classical,Dance,Folk,formal coat,neon clothing,wool hat
Instrumental,Experimental,World Music,simple jewelry,bold patterns,sandals
Country,Electronic,Vocal,wide-brimmed hat,graphic tee,elegant gown
Classical,Vocal,Folk,loafers,minimalist accessories,wool hat
Latin,Dance,Acoustic,colorful dress,glow accessories,simple sneakers
Reggae,Blues,Hip Hop/Rap,beanie,vintage jeans,sneakers
Folk,Classical,Electronic,ankle boots,formal coat,cargo pants
Acoustic,Pop,World Music,comfortable jeans,bright colored top,ethnic print clothing
Dance,Other,Folk,glow accessories,personalized accessories,flannel shirt
Folk,Classical,Dance,ankle boots,dress shirt,glow accessories
Other,Latin,Experimental,unique finds,dance shoes,bold patterns
Instrumental,Indie,World Music,classical outfit,corduroy pants,ethnic print clothing
Vocal,Indie,Soul/R&B,elegant gown,ankle boots,slim-fit trousers
Pop,Rock,Folk,bright colored top,ripped jeans,wool hat
Indie,Electronic,Dance,vintage sweater,LED accessories,neon clothing
Electronic,Jazz,Reggae,graphic tee,fedora hat,rasta colors clothing
Latin,Dance,Instrumental,dance shoes,light-up shoes,simple jewelry
Dance,World Music,Experimental,glow accessories,sandals,unique accessories
Acoustic,Blues,Indie,casual shirt,leather shoes,vintage sweater
Easy Listening,Latin,Pop,light scarf,dance shoes,fashionable sneakers
Punk,Latin,Rock,combat boots,cuban shirt,ripped jeans
Latin,Electronic,Easy Listening,colorful dress,graphic tee,loafers
Punk,Pop,Reggae,chain accessories,fashionable sneakers,rasta colors clothing
Vocal,Indie,Hip Hop/Rap,elegant gown,corduroy pants,streetwear hoodie
Easy Listening,Instrumental,Soul/R&B,loafers,simple jewelry,slim-fit trousers
Vocal,Metal,Latin,dress shoes,black t-shirt,cuban shirt
Indie,Reggae,Rock,vintage sweater,beads bracelet,band t-shirt
Latin,Experimental,Indie,colorful dress,bold patterns,corduroy pants
Rock,Soul/R&B,Classical,band t-shirt,velvet jacket,formal coat
Electronic,Jazz,Experimental,LED accessories,fedora hat,bold patterns
Electronic,Acoustic,Punk,cargo pants,casual shirt,chain accessories
Metal,Easy Listening,Hip Hop/Rap,black t-shirt,relaxed fit clothing,streetwear hoodie
Folk,Soul/R&B,Hip Hop/Rap,wool hat,silk scarf,baseball cap
Reggae,Soul/R&B,Easy Listening,beanie,silk scarf,light scarf
Electronic,Hip Hop/Rap,Dance,graphic tee,sneakers,neon clothing
Blues,Metal,Soul/R&B,vintage jeans,studded belt,slim-fit trousers
Pop,Experimental,Electronic,skinny jeans,bold patterns,graphic tee
Classical,Indie,Soul/R&B,loafers,vintage sweater,velvet jacket
Latin,Pop,Vocal,colorful dress,skinny jeans,minimalist accessories
Jazz,Dance,World Music,sunglasses,neon clothing,beaded accessories
Jazz,Ambient,Punk,sunglasses,minimalist jewelry,chain accessories
Reggae,Metal,Classical,beads bracelet,studded belt,dress shirt
Easy Listening,Acoustic,Vocal,loafers,simple sneakers,minimalist accessories
Pop,Other,Acoustic,bright colored top,personalized accessories,simple sneakers
Experimental,Folk,Country,avant-garde attire,wool hat,cowboy boots
Soul/R&B,Blues,Ambient,silk scarf,harmonica pendant,loose-fitting clothing
Blues,Acoustic,Electronic,leather shoes,casual shirt,graphic tee
Instrumental,Soul/R&B,Dance,simple jewelry,silk scarf,neon clothing
