Genres,Shirts,Jackets,Pants,Shoes,Accessories,Headwear
Alternative,"Band T-shirts, Graphic Tees, Flannel Shirts, Black Shirts, Tank Tops","Leather jackets, Denim jackets, Bomber jackets, Vintage army jackets, Corduroy jackets.","Ripped jeans, Skinny jeans, Cargo pants, Joggers, Corduroy pants","Combat boots, Doc Martens, Converse Chuck Taylors, Vans sneakers, High-top sneakers","Wristbands, Chokers, Studded belts, Leather bracelets, Band pins","Beanies, Snapback caps, Fedora hats, Berets, Trucker hats"
Blues,"Vintage Jazz Shirt, Denim Shirt, Graphic Tees with Blues Lyrics, Flannel Shirts, Button-up Shirts with Subtle Prints","Trench coats, Suede jackets, Vintage leather jackets, Blues-themed embroidered jackets, Classic black blazers","Chinos, Dress slacks, Corduroy pants, Tweed trousers, Wide-leg pants","Loafers, Brogues, Monk strap shoes, Oxfords, Wingtip shoes","Sunglasses, Pocket squares, Watches, Tie bars, Cufflinks","Fedora hats, Newsboy caps, Panama hats, Porkpie hats, Bowler hats"
Classical,"White button-down shirts, Collared polo shirts, Black turtleneck shirts, Crisp dress shirts, Vintage graphic tees","Tailored tuxedo jackets, Elegant blazers, Long wool overcoats, Velvet dinner jackets, Dapper tweed jackets","Formal trousers, Pleated pants, Dress slacks, Wool trousers, Pinstripe pants","Dress shoes, Loafers, Oxford shoes, Monk strap shoes, Chelsea boots","Watches, Ties, Pocket squares, Cufflinks, Tie pins",N/A
Country,"Plaid shirts, Cowboy shirts, Western snap shirts, Denim shirts, Henley shirts.","Cowboy jackets, Fringed suede jackets, Denim trucker jackets, Western-style leather vests, Plaid flannel jackets","Jeans, Bootcut jeans, Western-style jeans, Cargo pants, Overalls","Cowboy boots, Roper boots, Square-toe boots, Western mules, Western-style sneakers","Belt buckles, Western-style belts, Cowboy hatbands, Bolo ties, Bandanas","Cowboy hats, Straw hats, Western-style fedoras, Trucker caps, Bucket hats"
Dance,"Rave T-shirts, Neon-colored shirts, Tank tops, Crop tops, Sporty jerseys","Rave jackets, Neon windbreakers, Reflective vests, Track jackets, Hooded sweatshirts","Joggers, Leggings, Neon shorts, Dance pants, Metallic leggings","Sneakers, Neon high-tops, LED shoes, Dance sneakers, Slip-on sneakers","Glow accessories, LED bracelets, Neon fanny packs, Shutter shades, Rave gloves","Caps, LED visors, LED snapback caps, Headbands, Neon beanie"
Electronic,"Glow-in-the-dark shirts, Futuristic-themed shirts, LED-illuminated shirts, Minimalistic black shirts, Graphic-printed tees","Glow-in-the-dark jackets, Futuristic-themed jackets, LED-illuminated jackets, Cyberpunk-style jackets, Reflective techwear jackets","Shorts, Holographic shorts, LED shorts, Metallic leggings, Rave pants","Trainers, LED sneakers, Holographic boots, Futuristic sneakers, High-top sneakers","LED accessories, Cyberpunk goggles, LED masks, Futuristic belts, Techno gloves","Snapback hats, LED headbands, Futuristic helmets, Cyberpunk hoods, Light-up caps"
Folk,"Flannel shirts, Earthy-toned shirts, Folk-inspired embroidered shirts, Bohemian-style blouses, Vintage-inspired shirts","Knit cardigans, Bohemian fringed vests, Embroidered folk jackets, Woolen shawls, Vintage denim jackets","Corduroy pants, Wide-leg pants, Boho-style pants, Cropped pants, Bell-bottoms","Ankle boots, Moccasin boots, Boho sandals, Clogs, Leather sandals","Leather belts, Boho necklaces, Beaded bracelets, Dreamcatcher earrings, Wooden bangles","Wide-brim hats, Boho headbands, Flower crowns, Floppy sun hats, Slouchy beanies"
Hip-Hop/Rap,"Urban streetwear hoodies, Oversized T-shirts, Graphic tees, Sports jerseys, Tracksuits","Puffer jackets, Oversized hoodies, Bomber jackets, Leather moto jackets, Tracksuit jackets","Baggy jeans, Cargo pants, Track pants, Distressed jeans, Ripped jeans","High-top sneakers, Basketball sneakers, Designer sneakers, Timberland boots, Yeezy sneakers","Gold chains, Snapback hats, Grillz, Bling watches, Oversized sunglasses","Baseball caps, Durags, Bucket hats, Beanie hats, Snapback caps"
Pop,"Colorful and glittery tops, Crop tops, Graphic tees with pop culture references, Sequined shirts, Off-the-shoulder blouses","ashion jackets, Sequin blazers, Metallic bomber jackets, Glittery cardigans, Faux fur coats","Skinny jeans, Metallic leggings, Sequin pants, High-waisted shorts, Shimmery skirts","Designer shoes, Platform heels, Sparkly sneakers, Glittery boots, Clear vinyl heels","Stylish accessories, Statement necklaces, Sparkly clutches, Oversized sunglasses, Charm bracelets","Stylish hats, Sparkly headbands, Embellished hairpins, Glitter berets, Crystal-encrusted tiaras"
Reggae,"Tie-dye shirts, Rasta-themed shirts, Batik-printed shirts, Loose-fitting button-down shirts, Bob Marley graphic tees","Military jackets, Rasta-colored hoodies, Hemp jackets, Reggae-themed vests, Tie-dye cardigans","Linen pants, Baggy shorts, Tie-dye pants, Rasta-colored pants, Crochet shorts","Sandals, Flip-flops, Beaded sandals, Rasta sneakers, Hemp shoes","Beaded necklaces, Rasta bracelets, Wooden beads, Dreadlock cuffs, Rasta scarves","Dreadlock caps, Rasta beanies, Slouchy berets, Rasta bucket hats, Tam hats"
Rock,"Band T-shirts, Leather jackets, Plaid flannel shirts, Vintage rock concert tees, Distressed denim shirts","Leather jackets, Denim vests, Vintage band tour jackets, Moto jackets, Studded leather jackets","Black jeans, Distressed jeans, Skinny leather pants, Ripped leggings, Rocker-style pants","Biker boots, Combat boots, Studded ankle boots, Chelsea boots, Converse Chuck Taylors","Studded belts, Bandanas, Skull jewelry, Metal cuff bracelets, Chain necklaces","Bandanas, Trucker caps, Skullcaps, Fedora hats, Military-style hats"
