Genre_1,Genre_2,Genre_3,Shirt,Shoes,Sweater,Pants,Accessories
Soul/R&B,Vocal,Other,Generic Shirt,Casual Sneakers,Formal Jacket,Generic Pants,Casual Hat
Reggae,Country,Classical,Generic Shirt,Generic Shoes,Generic Sweater,Formal Trousers,Formal Tie
World Music,Electronic,Easy Listening,Casual Tee,Generic Shoes,Casual Hoodie,Formal Trousers,Casual Hat
Soul/R&B,Rock,Other,Generic Shirt,Generic Shoes,Formal Jacket,Generic Pants,Formal Tie
Metal,Reggae,Vocal,Formal Shirt,Formal Shoes,Casual Hoodie,Casual Jeans,Formal Tie
Other,Reggae,Folk,Casual Tee,Generic Shoes,Generic Sweater,Formal Trousers,Generic Accessory
Folk,Electronic,Latin,Formal Shirt,Formal Shoes,Formal Jacket,Formal Trousers,Formal Tie
Indie,Metal,Classical,Generic Shirt,Formal Shoes,Generic Sweater,Formal Trousers,Casual Hat
Indie,Ambient,Blues,Generic Shirt,Casual Sneakers,Casual Hoodie,Generic Pants,Casual Hat
World Music,Vocal,Classical,Generic Shirt,Formal Shoes,Casual Hoodie,Casual Jeans,Generic Accessory
Hip Hop/Rap,Reggae,Ambient,Formal Shirt,Formal Shoes,Formal Jacket,Casual Jeans,Casual Hat
Easy Listening,Rock,Indie,Generic Shirt,Casual Sneakers,Generic Sweater,Casual Jeans,Formal Tie
Vocal,Indie,Latin,Formal Shirt,Formal Shoes,Generic Sweater,Generic Pants,Generic Accessory
Rock,Experimental,Other,Studded Vest,Studded Sneakers,Rock Band Hoodie,Leather Pants,Leather Bracelet
Pop,Country,Latin,Formal Shirt,Casual Sneakers,Generic Sweater,Generic Pants,Generic Accessory
Experimental,Pop,Country,Formal Shirt,Casual Sneakers,Formal Jacket,Formal Trousers,Formal Tie
Indie,Vocal,Punk,Generic Shirt,Casual Sneakers,Generic Sweater,Formal Trousers,Casual Hat
Vocal,Punk,Easy Listening,Casual Tee,Formal Shoes,Formal Jacket,Formal Trousers,Casual Hat
Blues,Acoustic,Ambient,Generic Shirt,Casual Sneakers,Generic Sweater,Casual Jeans,Formal Tie
Pop,Folk,Soul/R&B,Generic Shirt,Generic Shoes,Casual Hoodie,Casual Jeans,Formal Tie
Electronic,Jazz,Pop,Neon Tee,Light-up Shoes,Electronic Band Hoodie,LED Pants,LED Necklace
Dance,Experimental,Pop,Generic Shirt,Casual Sneakers,Casual Hoodie,Generic Pants,Generic Accessory
Metal,Instrumental,Other,Generic Shirt,Generic Shoes,Casual Hoodie,Formal Trousers,Formal Tie
Acoustic,Hip Hop/Rap,Rock,Formal Shirt,Casual Sneakers,Formal Jacket,Formal Trousers,Formal Tie
Metal,Dance,Ambient,Formal Shirt,Formal Shoes,Casual Hoodie,Generic Pants,Generic Accessory
Ambient,Dance,Pop,Formal Shirt,Casual Sneakers,Generic Sweater,Casual Jeans,Formal Tie
Easy Listening,Indie,Dance,Formal Shirt,Generic Shoes,Casual Hoodie,Casual Jeans,Generic Accessory
Indie,Jazz,Soul/R&B,Generic Shirt,Formal Shoes,Formal Jacket,Casual Jeans,Generic Accessory
Ambient,Acoustic,Soul/R&B,Generic Shirt,Casual Sneakers,Generic Sweater,Casual Jeans,Formal Tie
Blues,Rock,Folk,Generic Shirt,Formal Shoes,Casual Hoodie,Formal Trousers,Casual Hat
Reggae,Blues,Country,Generic Shirt,Formal Shoes,Generic Sweater,Generic Pants,Casual Hat
Punk,Country,Blues,Generic Shirt,Formal Shoes,Formal Jacket,Casual Jeans,Generic Accessory
Ambient,Punk,Reggae,Generic Shirt,Formal Shoes,Formal Jacket,Casual Jeans,Generic Accessory
Other,Experimental,Hip Hop/Rap,Casual Tee,Formal Shoes,Generic Sweater,Formal Trousers,Formal Tie
Instrumental,Other,Folk,Casual Tee,Formal Shoes,Formal Jacket,Formal Trousers,Generic Accessory
Metal,Experimental,Latin,Generic Shirt,Formal Shoes,Casual Hoodie,Generic Pants,Casual Hat
Electronic,Instrumental,Soul/R&B,LED Jacket,Light-up Shoes,Futuristic Sweater,LED Pants,Glowing Bracelet
Easy Listening,World Music,Other,Formal Shirt,Generic Shoes,Casual Hoodie,Casual Jeans,Formal Tie
Rock,Ambient,Other,Leather Jacket,Leather Boots,Rock Band Hoodie,Ripped Jeans,Choker
Soul/R&B,Electronic,Punk,Generic Shirt,Casual Sneakers,Formal Jacket,Formal Trousers,Casual Hat
Metal,Latin,World Music,Casual Tee,Casual Sneakers,Formal Jacket,Formal Trousers,Formal Tie
Ambient,Folk,Dance,Formal Shirt,Casual Sneakers,Generic Sweater,Formal Trousers,Formal Tie
Blues,Experimental,Punk,Generic Shirt,Generic Shoes,Generic Sweater,Generic Pants,Formal Tie
Instrumental,World Music,Dance,Casual Tee,Formal Shoes,Generic Sweater,Formal Trousers,Generic Accessory
Dance,Classical,Other,Casual Tee,Generic Shoes,Casual Hoodie,Formal Trousers,Formal Tie
Indie,Ambient,World Music,Casual Tee,Generic Shoes,Casual Hoodie,Formal Trousers,Formal Tie
Easy Listening,Acoustic,Folk,Casual Tee,Casual Sneakers,Generic Sweater,Casual Jeans,Casual Hat
Rock,Acoustic,Metal,Band Tee,Studded Sneakers,Rock Band Hoodie,Leather Pants,Leather Bracelet
Hip Hop/Rap,Easy Listening,Acoustic,Formal Shirt,Casual Sneakers,Casual Hoodie,Casual Jeans,Generic Accessory
Folk,Metal,Other,Generic Shirt,Casual Sneakers,Casual Hoodie,Formal Trousers,Casual Hat
Folk,Electronic,Indie,Formal Shirt,Formal Shoes,Formal Jacket,Generic Pants,Generic Accessory
Electronic,World Music,Blues,Neon Tee,Glowing Sneakers,Futuristic Sweater,Futuristic Trousers,Glowing Bracelet
Vocal,Electronic,Dance,Generic Shirt,Casual Sneakers,Generic Sweater,Generic Pants,Generic Accessory
Reggae,Experimental,Hip Hop/Rap,Casual Tee,Formal Shoes,Generic Sweater,Casual Jeans,Casual Hat
Pop,Instrumental,Blues,Casual Tee,Generic Shoes,Formal Jacket,Formal Trousers,Generic Accessory
Blues,Experimental,Classical,Formal Shirt,Casual Sneakers,Generic Sweater,Casual Jeans,Generic Accessory
Blues,Country,Pop,Casual Tee,Generic Shoes,Casual Hoodie,Formal Trousers,Formal Tie
Reggae,Experimental,Punk,Generic Shirt,Casual Sneakers,Formal Jacket,Formal Trousers,Generic Accessory
Classical,Electronic,Punk,Formal Shirt,Classic Shoes,Formal Jacket,Tailored Pants,Silk Scarf
Pop,Folk,Dance,Casual Tee,Casual Sneakers,Formal Jacket,Generic Pants,Generic Accessory
Vocal,Rock,Latin,Casual Tee,Generic Shoes,Formal Jacket,Formal Trousers,Casual Hat
Metal,Classical,Experimental,Casual Tee,Casual Sneakers,Casual Hoodie,Formal Trousers,Formal Tie
Soul/R&B,Reggae,Pop,Formal Shirt,Casual Sneakers,Generic Sweater,Generic Pants,Generic Accessory
