Genre_1,Genre_2,Genre_3,Shirt,Shoes,Sweater,Pants,Accessories
Electronic,Rock,Punk,Glowing Purple Band Tee,Glowing Yellow Combat Boots,Futuristic Purple Hoodie,Futuristic Pink Ripped Jeans,Glowing Grey Studded Belt
Country,Acoustic,Other,Earthy Blue Casual Tee,Rustic Orange Loafers,Earthy Orange Zip-up Hoodie,Denim Pink Casual Jeans,Denim Red Leather Bracelet
Electronic,World Music,Country,Glowing Red Patterned Shirt,Neon Grey Espadrilles,Metallic Red Hoodie,Glowing Grey Blue Jeans,Glowing Pink LED Bracelet
Blues,Country,Acoustic,Retro Grey Plain Tee,Worn Green Suede Shoes,Worn Green Knit Sweater,Worn Pink Slacks,Deep Black Leather Bracelet
Instrumental,Classical,Reggae,Formal White Dress Shirt,Timeless Pink Sandals,Elegant Orange Blazer,Formal Black Cargo Shorts,Timeless Pink Silk Scarf
Folk,World Music,Classical,Elegant Red Turtleneck,Formal Purple Oxfords,Timeless Red Poncho,Timeless Black Tailored Trousers,Formal Grey Silk Scarf
Pop,Punk,Jazz,Trendy White Trendy Tee,Glamorous Grey Brogues,Glamorous Orange Leather Jacket,Sparkly Green Pleated Trousers,Trendy Pink Fashion Sunglasses
Pop,Other,Experimental,Bright Black Abstract Tee,Trendy Green Stylish Sneakers,Bright White Asymmetric Sweater,Trendy Purple Casual Jeans,Glamorous Green Artistic Scarf
Soul/R&B,Folk,Classical,Timeless Purple Silk Shirt,Sophisticated Purple Ankle Boots,Sophisticated Black Cashmere Sweater,Sophisticated Black Relaxed Fit Pants,Elegant Green Silk Scarf
Latin,Classical,Acoustic,Sophisticated Orange Plain Tee,Formal Black Dance Shoes,Formal Blue Knit Sweater,Formal Yellow Tailored Trousers,Elegant Orange Leather Bracelet
Soul/R&B,Country,Blues,Earthy Blue Henley Shirt,Classic Yellow Cowboy Boots,Earthy Purple Vest,Denim Pink Relaxed Fit Pants,Earthy Red Fedora
Rock,Acoustic,World Music,Vintage Green Band Tee,Leather Blue Espadrilles,Leather Blue Poncho,Leather Yellow Linen Trousers,Studded Black Leather Bracelet
World Music,Reggae,Punk,Bohemian Pink Plaid Shirt,Rasta Red Espadrilles,Bohemian Red Poncho,Relaxed Orange Linen Trousers,Relaxed Red Choker Necklace
Ambient,Experimental,Acoustic,Soft Pink Abstract Tee,Relaxed Yellow Loafers,Relaxed Yellow Asymmetric Sweater,Relaxed Purple Chinos,Relaxed White Leather Bracelet
Pop,Electronic,Easy Listening,Glamorous Grey Graphic Tee,Trendy Blue High-top Sneakers,Sparkly Pink Bomber Jacket,Sparkly Blue Joggers,Glamorous Yellow Fashion Sunglasses
Country,Instrumental,Soul/R&B,Classic White Flannel Shirt,Earthy Grey Cowboy Boots,Denim Green Blazer,Earthy Purple Relaxed Fit Pants,Earthy White Pocket Square
Ambient,Soul/R&B,Easy Listening,Unique White Silk Shirt,Unique Yellow Velvet Loafers,Eclectic Pink Velvet Jacket,Novel Green Relaxed Fit Pants,Unique Grey Gold Chain
Dance,World Music,Metal,Unique Purple Patterned Shirt,Eclectic Yellow Espadrilles,Eclectic Black Poncho,Unconventional Black Linen Trousers,Unconventional White Beaded Necklace
World Music,Reggae,Folk,Vibrant Red Earthy Tone Tee,Rasta Grey Espadrilles,Relaxed Green Shawl,Vibrant Red Cargo Shorts,Rasta Red Beaded Necklace
Punk,Electronic,World Music,Neon Red Patterned Shirt,Metallic Purple High-top Sneakers,Metallic Black Leather Jacket,Futuristic Pink Ripped Jeans,Neon Orange Choker Necklace
Hip Hop/Rap,Soul/R&B,Pop,Sparkly Grey Trendy Tee,Glamorous Blue Velvet Loafers,Bright White Bomber Jacket,Sparkly Green Relaxed Fit Pants,Trendy White Fashion Sunglasses
Ambient,Other,Instrumental,Unconventional Pink Casual Tee,Eclectic Green Sneakers,Eclectic Red Blazer,Eclectic Grey Dress Pants,Unique Yellow Baseball Cap
Classical,Reggae,Other,Timeless White Casual Tee,Sophisticated Orange Sneakers,Sophisticated Pink Zip-up Hoodie,Sophisticated Orange Tailored Trousers,Elegant Yellow Rasta Bracelet
Rock,Dance,Soul/R&B,Grunge Grey Silk Shirt,Leather Yellow Leather Boots,Grunge White Velvet Jacket,Leather Purple Relaxed Fit Pants,Grunge Blue Gold Chain
Country,Latin,Electronic,Denim Green Brightly Colored Shirt,Denim Orange High-top Sneakers,Denim Green Hoodie,Denim Purple Joggers,Classic Orange LED Bracelet
Blues,Ambient,Soul/R&B,Soulful Purple Silk Shirt,Soulful White Velvet Loafers,Worn Pink Velvet Jacket,Retro Purple Relaxed Fit Pants,Deep Black Gold Chain
Soul/R&B,Metal,Experimental,Novel Green Silk Shirt,Novel Grey Velvet Loafers,Unique Black Asymmetric Sweater,Eclectic Purple Relaxed Fit Pants,Unconventional Blue Artistic Scarf
Rock,Other,Country,Leather Purple Band Tee,Studded Grey Leather Boots,Leather Grey Zip-up Hoodie,Leather Yellow Blue Jeans,Leather Pink Studded Belt
